bank_ref,invoice_number,status,confidence
BANK-0001,INV-0001,MATCHED,0.888
BANK-0002,,UNMATCHED,0.0
BANK-0003,INV-0002,MATCHED,0.888
BANK-0004,INV-0003,MATCHED,0.891
BANK-0005,,UNMATCHED,0.0
BANK-0006,,UNMATCHED,0.0
BANK-0007,INV-0006,MATCHED,0.978
BANK-0008,INV-0007,MATCHED,0.978
BANK-0009,INV-0008,MATCHED,0.978
BANK-0010,INV-0009,MATCHED,0.978
BANK-0011,INV-0010,MATCHED,0.867
BANK-0012,,UNMATCHED,0.0
BANK-0013,INV-0013,MATCHED,0.978
BANK-0014,INV-0014,MATCHED,0.978
BANK-0015,INV-0016,MATCHED,0.921
BANK-0016,,UNMATCHED,0.0
BANK-0017,,UNMATCHED,0.0
BANK-0018,INV-0021,MATCHED,0.978
BANK-0019,INV-0024,MATCHED,0.888
BANK-0020,,UNMATCHED,0.0
BANK-0021,INV-0027,MATCHED,0.891
BANK-0022,INV-0028,MATCHED,0.978
BANK-0023,,UNMATCHED,0.0
BANK-0024,,UNMATCHED,0.0
BANK-0025,,UNMATCHED,0.0
BANK-0026,INV-0029,MATCHED,0.978
BANK-0027,INV-0031,MATCHED,0.796
BANK-0028,INV-0032,MATCHED,0.921
BANK-0029,INV-0033,MATCHED,0.888
BANK-0030,,UNMATCHED,0.0
BANK-0031,INV-0035,MATCHED,0.978
BANK-0032,,UNMATCHED,0.0
BANK-0033,INV-0036,MATCHED,0.978
BANK-0034,INV-0037,MATCHED,0.978
BANK-0035,INV-0038,MATCHED,0.978
BANK-0036,INV-0039,MATCHED,0.978
BANK-0037,INV-0040,MATCHED,0.978
BANK-0038,INV-0041,MATCHED,0.978
BANK-0039,INV-0042,MATCHED,0.796
BANK-0040,INV-0043,MATCHED,0.868
BANK-0041,INV-0044,MATCHED,0.883
BANK-0042,INV-0045,MATCHED,0.978
BANK-0043,,UNMATCHED,0.0
BANK-0044,INV-0046,MATCHED,0.888
BANK-0045,,UNMATCHED,0.0
BANK-0046,,UNMATCHED,0.0
BANK-0047,,UNMATCHED,0.0
BANK-0048,,UNMATCHED,0.0
BANK-0049,,UNMATCHED,0.0
BANK-0050,,UNMATCHED,0.0
