bank_ref,journal_id,status,confidence
BANK-0001,JE-0001,MATCHED,0.875
BANK-0002,,UNMATCHED,0.0
BANK-0003,,UNMATCHED,0.0
BANK-0004,JE-0002,MATCHED,0.815
BANK-0005,,UNMATCHED,0.0
BANK-0006,JE-0005,MATCHED,0.95
BANK-0007,,UNMATCHED,0.476
BANK-0008,,UNMATCHED,0.0
BANK-0009,,UNMATCHED,0.466
BANK-0010,JE-0006,MATCHED,0.95
BANK-0011,,UNMATCHED,0.0
BANK-0012,,UNMATCHED,0.0
BANK-0013,JE-0011,MATCHED,0.95
BANK-0014,JE-0012,MATCHED,0.95
BANK-0015,JE-0014,MATCHED,0.908
BANK-0016,,UNMATCHED,0.482
BANK-0017,,UNMATCHED,0.0
BANK-0018,,UNMATCHED,0.0
BANK-0019,JE-0017,MATCHED,0.875
BANK-0020,JE-0020,MATCHED,0.95
BANK-0021,JE-0022,MATCHED,0.808
BANK-0022,JE-0023,MATCHED,0.95
BANK-0023,,UNMATCHED,0.0
BANK-0024,,UNMATCHED,0.487
BANK-0025,,UNMATCHED,0.487
BANK-0026,JE-0025,MATCHED,0.95
BANK-0027,JE-0026,MATCHED,0.783
BANK-0028,JE-0028,MATCHED,0.908
BANK-0029,JE-0029,MATCHED,0.875
BANK-0030,,UNMATCHED,0.0
BANK-0031,JE-0031,MATCHED,0.95
BANK-0032,JE-0032,MATCHED,0.95
BANK-0033,JE-0033,MATCHED,0.95
BANK-0034,,UNMATCHED,0.482
BANK-0035,,UNMATCHED,0.482
BANK-0036,JE-0036,MATCHED,0.95
BANK-0037,JE-0037,MATCHED,0.95
BANK-0038,JE-0038,MATCHED,0.95
BANK-0039,JE-0039,MATCHED,0.783
BANK-0040,JE-0040,MATCHED,0.821
BANK-0041,JE-0043,MATCHED,0.82
BANK-0042,JE-0044,MATCHED,0.95
BANK-0043,JE-0045,MATCHED,0.95
BANK-0044,JE-0046,MATCHED,0.875
BANK-0045,JE-0047,MATCHED,0.875
BANK-0046,,UNMATCHED,0.0
BANK-0047,,UNMATCHED,0.0
BANK-0048,,UNMATCHED,0.0
BANK-0049,,UNMATCHED,0.0
BANK-0050,,UNMATCHED,0.0
