bank_ref,date,amount,description
BANK-0001,2026-08-26,-3191.12,OFFICE DEPOT
BANK-0002,2026-08-07,-863.13,CITY POWER & LIGHT
BANK-0003,2026-07-09,-2562.95,TRANSGLOBAL AIRLINES
BANK-0004,2026-08-17,-479.96,POS PURCHASE 7681
BANK-0005,2026-06-30,-2057.46,HOOLI MARKETING
BANK-0006,2026-08-25,-2677.13,INITECH SOFTWARE
BANK-0007,2026-07-23,-10495.45,MUTUAL SHIELD INSURANCE
BANK-0008,2026-07-18,-9585.4,MUTUAL SHIELD INSURANCE
BANK-0009,2026-07-17,-7933.77,GLOBEX CORPORATION
BANK-0010,2026-06-07,-3454.3,MUTUAL SHIELD INSURANCE
BANK-0011,2026-06-12,-59709.41,PAYMENT REF 8382
BANK-0012,2026-07-20,-854.13,FIRST NATIONAL BANK
BANK-0013,2026-07-18,-5183.26,BENEFITS ADMINISTRATION CO
BANK-0014,2026-08-21,-4496.24,ACME INDUSTRIAL SUPPLY
BANK-0015,2026-07-24,-1236.92,PAYROLL SERVICES INC
BANK-0016,2026-06-15,7096.33,ACH DEBIT 7022
BANK-0017,2026-06-26,-1060.19,ACH DEBIT 8626
BANK-0018,2026-07-09,25164.22,CUSTOMER EPSILON
BANK-0019,2026-06-22,-2409.67,MUTUAL SHIELD INSURANCE
BANK-0020,2026-08-03,-905.0,UMBRELLA CLOUD SERVICES
BANK-0021,2026-08-19,-1641.98,POS PURCHASE 5639
BANK-0022,2026-07-18,-39887.52,MARRIOTT HOTELS
BANK-0023,2026-08-08,-13962.99,PAYROLL SERVICES INC
BANK-0024,2026-07-26,7681.35,CUSTOMER GAMMA
BANK-0025,2026-07-24,7784.4,CUSTOMER GAMMA
BANK-0026,2026-08-24,-4122.18,DEWEY CHEATEM & HOWE
BANK-0027,2026-07-24,-33878.25,OFFICE DEPOT
BANK-0028,2026-08-20,-9071.07,CITY POWER & LIGHT
BANK-0029,2026-06-20,-295.26,WAYNE PROPERTIES
BANK-0030,2026-07-21,12968.73,CUSTOMER EPSILON
BANK-0031,2026-08-26,-2201.75,PIED PIPER ADS
BANK-0032,2026-07-01,-1392.93,TECH HARDWARE CORP
BANK-0033,2026-08-25,-8013.59,NORTHWIND LOGISTICS
BANK-0034,2026-06-06,-283.24,HOOLI MARKETING
BANK-0035,2026-06-06,-276.74,HOOLI MARKETING
BANK-0036,2026-06-09,-1811.69,WAYNE PROPERTIES
BANK-0037,2026-08-23,-8114.67,FIRST NATIONAL BANK
BANK-0038,2026-08-11,6464.01,CUSTOMER DELTA
BANK-0039,2026-08-31,-23785.73,DEWEY CHEATEM & HOWE
BANK-0040,2026-07-21,-408.82,ACH DEBIT 7372
BANK-0041,2026-08-03,-1646.05,CARD TRANSACTION 2273
BANK-0042,2026-06-10,10365.6,CUSTOMER EPSILON
BANK-0043,2026-06-17,-11394.26,BENEFITS ADMINISTRATION CO
BANK-0044,2026-07-22,-5043.19,PAYROLL SERVICES INC
BANK-0045,2026-08-06,-7682.85,PIED PIPER ADS
BANK-0046,2026-07-01,43031.32,PAYMENT REF 2294
BANK-0047,2026-08-28,-12.0,FIRST NATIONAL BANK
BANK-0048,2026-06-26,-25.0,FIRST NATIONAL BANK
BANK-0049,2026-06-05,84.32,FIRST NATIONAL BANK
BANK-0050,2026-06-06,220.0,GLOBEX CORPORATION
