bank_ref,journal_id,invoice_number,date,amount,vendor,description,tax_line,tax_confidence,tax_reason,match_source_count
BANK-0001,JE-0001,INV-0001,2026-08-26,-3191.12,Office Depot,OFFICE DEPOT Office Depot Printer consumables  Printer consumables - Office Depot,Office Supplies,0.9,Matched rule: Office Supplies,3
BANK-0002,,,2026-08-07,-863.13,,CITY POWER & LIGHT,Utilities,0.9,Matched rule: Utilities,1
BANK-0003,,INV-0002,2026-07-09,-2562.95,TransGlobal Airlines,TRANSGLOBAL AIRLINES TransGlobal Airlines Conference airfare,Travel & Meals,0.9,Matched rule: Travel & Meals,2
BANK-0004,JE-0002,INV-0003,2026-08-17,-479.96,Marriott Hotels,POS PURCHASE 7681 Marriott Hotels Team offsite hotel  Team offsite hotel (ref 6541),Travel & Meals,0.9,Matched rule: Travel & Meals,3
BANK-0005,,,2026-06-30,-2057.46,,HOOLI MARKETING,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,1
BANK-0006,JE-0005,,2026-08-25,-2677.13,,INITECH SOFTWARE  Saas license renewal - Initech Software,Software & Subscriptions,0.9,Matched rule: Software & Subscriptions,2
BANK-0007,,INV-0006,2026-07-23,-10495.45,Mutual Shield Insurance,MUTUAL SHIELD INSURANCE Mutual Shield Insurance Liability insurance premium,Insurance,0.9,Matched rule: Insurance,2
BANK-0008,,INV-0007,2026-07-18,-9585.4,Mutual Shield Insurance,MUTUAL SHIELD INSURANCE Mutual Shield Insurance Liability insurance premium,Insurance,0.9,Matched rule: Insurance,2
BANK-0009,,INV-0008,2026-07-17,-7933.77,Globex Corporation,GLOBEX CORPORATION Globex Corporation Industrial materials,COGS - Materials,0.9,Matched rule: COGS - Materials,2
BANK-0010,JE-0006,INV-0009,2026-06-07,-3454.3,Mutual Shield Insurance,MUTUAL SHIELD INSURANCE Mutual Shield Insurance Property insurance  Property insurance - Mutual Shield Insurance,Insurance,0.9,Matched rule: Insurance,3
BANK-0011,,INV-0010,2026-06-12,-59709.41,Globex Corporation,PAYMENT REF 8382 Globex Corporation Packaging supplies,COGS - Materials,0.9,Matched rule: COGS - Materials,2
BANK-0012,,,2026-07-20,-854.13,,FIRST NATIONAL BANK,Bank Fees,0.9,Matched rule: Bank Fees,1
BANK-0013,JE-0011,INV-0013,2026-07-18,-5183.26,Benefits Administration Co,BENEFITS ADMINISTRATION CO Benefits Administration Co 401k match  401k match - Benefits Administration Co,Payroll - Benefits,0.9,Matched rule: Payroll - Benefits,3
BANK-0014,JE-0012,INV-0014,2026-08-21,-4496.24,Acme Industrial Supply,ACME INDUSTRIAL SUPPLY Acme Industrial Supply Packaging supplies  Packaging supplies - Acme Industrial Supply,COGS - Materials,0.9,Matched rule: COGS - Materials,3
BANK-0015,JE-0014,INV-0016,2026-07-24,-1236.92,Payroll Services Inc,PAYROLL SERVICES INC Payroll Services Inc Biweekly payroll  Biweekly payroll - Payroll Services Inc,Payroll - Salaries,0.9,Matched rule: Payroll - Salaries,3
BANK-0016,,,2026-06-15,7096.33,,ACH DEBIT 7022,Unclassified Expense,0.3,No keyword pattern matched,1
BANK-0017,,,2026-06-26,-1060.19,,ACH DEBIT 8626,Unclassified Expense,0.3,No keyword pattern matched,1
BANK-0018,,INV-0021,2026-07-09,25164.22,Customer Epsilon,CUSTOMER EPSILON Customer Epsilon Merchandise order,Revenue - Product Sales,0.95,Matched Revenue - Product Sales keywords,2
BANK-0019,JE-0017,INV-0024,2026-06-22,-2409.67,Mutual Shield Insurance,MUTUAL SHIELD INSURANCE Mutual Shield Insurance Liability insurance premium  Liability insurance premium - Mutual Shield Insurance,Insurance,0.9,Matched rule: Insurance,3
BANK-0020,JE-0020,,2026-08-03,-905.0,,UMBRELLA CLOUD SERVICES  Annual subscription - Umbrella Cloud Services,Software & Subscriptions,0.9,Matched rule: Software & Subscriptions,2
BANK-0021,JE-0022,INV-0027,2026-08-19,-1641.98,City Power & Light,POS PURCHASE 5639 City Power & Light Water and sewer  Water and sewer (ref 2712),Utilities,0.9,Matched rule: Utilities,3
BANK-0022,JE-0023,INV-0028,2026-07-18,-39887.52,Marriott Hotels,MARRIOTT HOTELS Marriott Hotels Client meeting travel  Client meeting travel - Marriott Hotels,Travel & Meals,0.9,Matched rule: Travel & Meals,3
BANK-0023,,,2026-08-08,-13962.99,,PAYROLL SERVICES INC,Payroll - Salaries,0.9,Matched rule: Payroll - Salaries,1
BANK-0024,,,2026-07-26,7681.35,,CUSTOMER GAMMA,Revenue - Services,0.9,Revenue pattern + positive flow,1
BANK-0025,,,2026-07-24,7784.4,,CUSTOMER GAMMA,Revenue - Services,0.9,Revenue pattern + positive flow,1
BANK-0026,JE-0025,INV-0029,2026-08-24,-4122.18,Dewey Cheatem & Howe,DEWEY CHEATEM & HOWE Dewey Cheatem & Howe Tax advisory  Tax advisory - Dewey Cheatem & Howe,Professional Services,0.9,Matched rule: Professional Services,3
BANK-0027,JE-0026,INV-0031,2026-07-24,-33878.25,Office Depot,OFFICE DEPOT Office Depot Printer consumables  Printer consumables - Office Depot,Office Supplies,0.9,Matched rule: Office Supplies,3
BANK-0028,JE-0028,INV-0032,2026-08-20,-9071.07,City Power & Light,CITY POWER & LIGHT City Power & Light Water and sewer  Water and sewer - City Power & Light,Utilities,0.9,Matched rule: Utilities,3
BANK-0029,JE-0029,INV-0033,2026-06-20,-295.26,Wayne Properties,WAYNE PROPERTIES Wayne Properties Monthly office rent  Monthly office rent - Wayne Properties,Rent - Office,0.9,Matched rule: Rent - Office,3
BANK-0030,,,2026-07-21,12968.73,,CUSTOMER EPSILON,Revenue - Product Sales,0.95,Matched Revenue - Product Sales keywords,1
BANK-0031,JE-0031,INV-0035,2026-08-26,-2201.75,Pied Piper Ads,PIED PIPER ADS Pied Piper Ads Campaign media buy  Campaign media buy - Pied Piper Ads,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,3
BANK-0032,JE-0032,,2026-07-01,-1392.93,,TECH HARDWARE CORP  Office equipment - Tech Hardware Corp,Equipment & Depreciation,0.9,Matched rule: Equipment & Depreciation,2
BANK-0033,JE-0033,INV-0036,2026-08-25,-8013.59,Northwind Logistics,NORTHWIND LOGISTICS Northwind Logistics Shipping and handling  Shipping and handling - Northwind Logistics,COGS - Freight,0.9,Matched rule: COGS - Freight,3
BANK-0034,,INV-0037,2026-06-06,-283.24,Hooli Marketing,HOOLI MARKETING Hooli Marketing Print advertising,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,2
BANK-0035,,INV-0038,2026-06-06,-276.74,Hooli Marketing,HOOLI MARKETING Hooli Marketing Print advertising,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,2
BANK-0036,JE-0036,INV-0039,2026-06-09,-1811.69,Wayne Properties,WAYNE PROPERTIES Wayne Properties Monthly office rent  Monthly office rent - Wayne Properties,Rent - Office,0.9,Matched rule: Rent - Office,3
BANK-0037,JE-0037,INV-0040,2026-08-23,-8114.67,First National Bank,FIRST NATIONAL BANK First National Bank Monthly service fee  Monthly service fee - First National Bank,Bank Fees,0.9,Matched rule: Bank Fees,3
BANK-0038,JE-0038,INV-0041,2026-08-11,6464.01,Customer Delta,CUSTOMER DELTA Customer Delta Implementation services  Implementation services - Customer Delta,Revenue - Services,0.9,Revenue pattern + positive flow,3
BANK-0039,JE-0039,INV-0042,2026-08-31,-23785.73,Dewey Cheatem & Howe,DEWEY CHEATEM & HOWE Dewey Cheatem & Howe Audit support  Audit support - Dewey Cheatem & Howe,Professional Services,0.9,Matched rule: Professional Services,3
BANK-0040,JE-0040,INV-0043,2026-07-21,-408.82,First National Bank,ACH DEBIT 7372 First National Bank Wire transfer fee  Wire transfer fee (ref 2713),Bank Fees,0.9,Matched rule: Bank Fees,3
BANK-0041,JE-0043,INV-0044,2026-08-03,-1646.05,Hooli Marketing,CARD TRANSACTION 2273 Hooli Marketing Campaign media buy  Campaign media buy (ref 8575),Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,3
BANK-0042,JE-0044,INV-0045,2026-06-10,10365.6,Customer Epsilon,CUSTOMER EPSILON Customer Epsilon Merchandise order  Merchandise order - Customer Epsilon,Revenue - Product Sales,0.95,Matched Revenue - Product Sales keywords,3
BANK-0043,JE-0045,,2026-06-17,-11394.26,,BENEFITS ADMINISTRATION CO  Health insurance premium - Benefits Administration Co,Payroll - Benefits,0.9,Matched rule: Payroll - Benefits,2
BANK-0044,JE-0046,INV-0046,2026-07-22,-5043.19,Payroll Services Inc,PAYROLL SERVICES INC Payroll Services Inc Salary run  Salary run - Payroll Services Inc,Payroll - Salaries,0.9,Matched rule: Payroll - Salaries,3
BANK-0045,JE-0047,,2026-08-06,-7682.85,,PIED PIPER ADS  Sponsored content - Pied Piper Ads,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,2
