bank_ref,journal_id,invoice_number,amount,tax_line,exception_reason
BANK-0002,,,-863.13,Utilities,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0005,,,-2057.46,Marketing & Advertising,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0012,,,-854.13,Bank Fees,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0016,,,7096.33,Unclassified Expense,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit) | Descriptor insufficient for confident GL tax-line rule match
BANK-0017,,,-1060.19,Unclassified Expense,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit) | Descriptor insufficient for confident GL tax-line rule match
BANK-0023,,,-13962.99,Payroll - Salaries,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0024,,,7681.35,Revenue - Services,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0025,,,7784.4,Revenue - Services,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0030,,,12968.73,Revenue - Product Sales,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0046,,,43031.32,Unclassified Expense,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit) | Descriptor insufficient for confident GL tax-line rule match
BANK-0047,,,-12.0,Bank Fees,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0048,,,-25.0,Bank Fees,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0049,,,84.32,Bank Fees,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
BANK-0050,,,220.0,COGS - Materials,Single-source bank entry (unmatched in GL/Invoices; non-invoiced debit or direct deposit)
,JE-0003,,41332.7,Revenue - Product Sales,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0004,,1681.76,Rent - Office,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0007,,4390.24,Rent - Office,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0008,,4018.59,Software & Subscriptions,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0009,,2204.69,COGS - Materials,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0010,,4571.67,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0013,,983.13,Marketing & Advertising,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0015,,2935.72,Utilities,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0016,,454.96,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0018,,7095.55,Bank Fees,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0019,,6739.65,Bank Fees,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0021,,9207.19,Office Supplies,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0024,,3183.25,COGS - Materials,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0027,,470.22,COGS - Materials,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0030,,3987.95,COGS - Materials,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0034,,420.13,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0035,,5308.59,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0041,,10199.83,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0042,,9398.34,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0048,,1240.0,Equipment & Depreciation,Orphan ledger journal (non-cash entry or unsettled accrual)
,JE-0049,,8600.0,Revenue - Services,Orphan ledger journal (non-cash entry or unsettled accrual)
,,INV-0004,41332.7,Revenue - Product Sales,Unpaid open invoice (no posted bank transaction)
,,INV-0005,1681.76,Rent - Office,Unpaid open invoice (no posted bank transaction)
,,INV-0011,2204.69,COGS - Materials,Unpaid open invoice (no posted bank transaction)
,,INV-0012,4571.67,Revenue - Services,Unpaid open invoice (no posted bank transaction)
,,INV-0015,983.13,Marketing & Advertising,Unpaid open invoice (no posted bank transaction)
,,INV-0017,2935.72,Utilities,Unpaid open invoice (no posted bank transaction)
,,INV-0018,34917.65,Professional Services,Unpaid open invoice (no posted bank transaction)
,,INV-0019,34400.49,COGS - Materials,Unpaid open invoice (no posted bank transaction)
,,INV-0020,6019.0,Revenue - Services,Unpaid open invoice (no posted bank transaction)
,,INV-0022,975.07,Rent - Office,Unpaid open invoice (no posted bank transaction)
,,INV-0023,960.03,Rent - Office,Unpaid open invoice (no posted bank transaction)
,,INV-0025,2315.85,Marketing & Advertising,Unpaid open invoice (no posted bank transaction)
,,INV-0026,9207.19,Office Supplies,Unpaid open invoice (no posted bank transaction)
,,INV-0030,20653.91,Professional Services,Unpaid open invoice (no posted bank transaction)
,,INV-0034,3987.95,COGS - Materials,Unpaid open invoice (no posted bank transaction)
,,INV-0047,3400.0,COGS - Materials,Unpaid open invoice (no posted bank transaction)
